,ARIMA_Forecast,SARIMA_Forecast,ES_Forecast,GARCH_Variance
2018-08-07 21:00:00,12253.545432520967,17594.12421900115,17110.795605588602,8542490.943965277
2018-08-07 22:00:00,12253.545432520967,16617.26790997973,16038.086826321512,8542490.943965277
2018-08-07 23:00:00,12253.545432520967,15446.951273954284,14798.574870868673,8542490.943965277
2018-08-08 00:00:00,12253.545432520967,14526.201067367429,13851.420405523464,8542490.943965277
2018-08-08 01:00:00,12253.545432520967,13849.758262911502,13129.605783923102,8542490.943965277
2018-08-08 02:00:00,12253.545432520967,13444.129062732263,12728.672281618441,8542490.943965277
2018-08-08 03:00:00,12253.545432520967,13202.392522725298,12447.302998578147,8542490.943965277
2018-08-08 04:00:00,12253.545432520967,13245.394826819496,12476.07029552531,8542490.943965277
2018-08-08 05:00:00,12253.545432520967,13631.341049310386,12782.335331045073,8542490.943965277
2018-08-08 06:00:00,12253.545432520967,14247.588479916578,13341.642312898139,8542490.943965277
2018-08-08 07:00:00,12253.545432520967,14853.424400555803,13703.55379596788,8542490.943965277
2018-08-08 08:00:00,12253.545432520967,15530.573040939986,14140.660789815445,8542490.943965277
2018-08-08 09:00:00,12253.545432520967,16195.991261426261,14678.945744651384,8542490.943965277
2018-08-08 10:00:00,12253.545432520967,16942.810724080344,15377.855529108308,8542490.943965277
2018-08-08 11:00:00,12253.545432520967,17558.365507873405,16008.849445626895,8542490.943965277
2018-08-08 12:00:00,12253.545432520967,18169.804662262097,16729.32330907202,8542490.943965277
2018-08-08 13:00:00,12253.545432520967,18688.64947624557,17340.33815240548,8542490.943965277
2018-08-08 14:00:00,12253.545432520967,19017.292560709506,17786.23800411585,8542490.943965277
2018-08-08 15:00:00,12253.545432520967,19198.427216647255,18106.311619318767,8542490.943965277
2018-08-08 16:00:00,12253.545432520967,19294.38019532313,18343.320186931414,8542490.943965277
2018-08-08 17:00:00,12253.545432520967,19241.810458106775,18464.1245023787,8542490.943965277
2018-08-08 18:00:00,12253.545432520967,18925.266521466227,18275.771056305995,8542490.943965277
2018-08-08 19:00:00,12253.545432520967,18472.81673916892,17932.624545994917,8542490.943965277
2018-08-08 20:00:00,12253.545432520967,18024.713590592582,17546.171189190733,8542490.943965277
2018-08-08 21:00:00,12253.545432520967,17679.529250581254,17112.381100605635,8542490.943965277
2018-08-08 22:00:00,12253.545432520967,16702.716124139315,16039.672321338545,8542490.943965277
2018-08-08 23:00:00,12253.545432520967,15532.388490917816,14800.160365885706,8542490.943965277
2018-08-09 00:00:00,12253.545432520967,14611.620031605142,13853.005900540496,8542490.943965277
2018-08-09 01:00:00,12253.545432520967,13935.179458452449,13131.191278940134,8542490.943965277
2018-08-09 02:00:00,12253.545432520967,13529.528905735518,12730.257776635473,8542490.943965277
2018-08-09 03:00:00,12253.545432520967,13287.791085676496,12448.88849359518,8542490.943965277
2018-08-09 04:00:00,12253.545432520967,13330.771391264223,12477.655790542341,8542490.943965277
2018-08-09 05:00:00,12253.545432520967,13716.686963881091,12783.920826062105,8542490.943965277
2018-08-09 06:00:00,12253.545432520967,14332.887244830801,13343.227807915171,8542490.943965277
2018-08-09 07:00:00,12253.545432520967,14938.712575226875,13705.139290984913,8542490.943965277
2018-08-09 08:00:00,12253.545432520967,15615.891407859983,14142.246284832478,8542490.943965277
2018-08-09 09:00:00,12253.545432520967,16281.343625024841,14680.531239668417,8542490.943965277
2018-08-09 10:00:00,12253.545432520967,17028.168588068387,15379.44102412534,8542490.943965277
2018-08-09 11:00:00,12253.545432520967,17643.72150518681,16010.434940643927,8542490.943965277
2018-08-09 12:00:00,12253.545432520967,18255.131987641875,16730.908804089053,8542490.943965277
2018-08-09 13:00:00,12253.545432520967,18773.95445241871,17341.92364742251,8542490.943965277
2018-08-09 14:00:00,12253.545432520967,19102.572830437173,17787.823499132883,8542490.943965277
2018-08-09 15:00:00,12253.545432520967,19283.687689164042,18107.8971143358,8542490.943965277
2018-08-09 16:00:00,12253.545432520967,19379.650123562922,18344.905681948447,8542490.943965277
2018-08-09 17:00:00,12253.545432520967,19327.125819707788,18465.709997395734,8542490.943965277
2018-08-09 18:00:00,12253.545432520967,19010.60464277103,18277.356551323028,8542490.943965277
2018-08-09 19:00:00,12253.545432520967,18558.153530167776,17934.21004101195,8542490.943965277
2018-08-09 20:00:00,12253.545432520967,18110.03643478028,17547.756684207765,8542490.943965277
2018-08-09 21:00:00,12253.545432520967,17764.84438337915,17113.966595622667,8542490.943965277
2018-08-09 22:00:00,12253.545432520967,16788.042004452247,16041.257816355577,8542490.943965277
2018-08-09 23:00:00,12253.545432520967,15617.711634188836,14801.745860902738,8542490.943965277
